id_sonda	FNB4	FNB36	FNB37	FNB39	FNB40	FNB41	FNB43	FNB44A	FNB44B	FNB45	FNB6	FNB7	FNB8	FNB12	FNB29	FNB32	FNB33	FNB35	Media	Error estándar %
203842_s_at	114.4	28.5	10.3	2.8	3.8	10.4	12.2	16.0	5.8	19.0	4.6	54.1	11.8	4.5	40.8	39.1	10.8	65.8	25.261111111111116	26.203961660318235
203861_s_at	7.8	6.5	9.8	9.7	3.9	7.6	4.0	4.0	6.6	3.7	4.1	8.0	9.9	6.7	6.2	5.5	14.9	2494.4	145.18333333333334	92.50191721343018
203862_s_at	48.3	32.2	13.0	2.4	5.8	21.6	9.2	21.7	1.7	3.1	2.2	33.1	6.2	30.7	34.1	10.3	11.5	627.6	50.81666666666667	65.18355948986003
203863_at	15.4	9.2	21.0	30.5	2.0	7.4	8.3	2.7	16.1	4.8	6.8	7.6	8.5	8.0	29.0	8.7	9.6	1072.2	70.43333333333334	81.34935165475558
203864_s_at	233.1	112.9	84.2	115.6	91.4	140.0	111.3	145.5	106.6	97.9	92.2	117.8	80.5	157.6	134.8	85.4	53.3	954.8	161.93888888888887	28.530198115435073
203872_at	145.5	36.1	74.2	14.1	3.6	20.9	21.1	37.6	8.0	27.9	7.7	99.5	72.4	179.7	71.7	32.2	55.9	18895.1	1100.1777777777777	92.46942740151566
203886_s_at	211.1	222.4	911.0	414.5	709.5	110.3	534.8	1881.5	362.0	163.9	802.2	172.7	218.9	599.3	154.9	197.5	285.6	186.4	452.13888888888886	21.89508940625611
203896_s_at	36.2	66.8	220.2	45.0	49.3	20.1	40.7	70.1	14.5	4.2	57.1	30.4	48.8	62.7	28.9	26.7	36.8	38.0	49.80555555555556	21.196926209422536
203902_at	48.9	15.4	19.0	4.7	5.1	9.8	2.9	25.8	20.7	19.2	13.8	61.2	7.6	29.1	5.5	4.6	4.6	7.5	16.96666666666667	21.700959801228493
203915_at	3144.8	390.1	664.4	410.4	261.6	2907.9	346.4	382.0	648.0	3554.8	3049.3	991.8	2862.0	252.0	566.2	1168.9	1803.9	1018.7	1356.8444444444447	20.00649971698229
203936_s_at	343.5	803.3	507.2	1114.4	267.9	5717.6	895.4	489.1	1092.4	587.6	757.4	569.8	706.7	394.6	286.3	1515.6	165.8	441.4	925.3333333333334	30.817412505382496
203942_s_at	18.1	5.2	6.9	10.3	9.2	10.1	13.3	4.2	3.1	6.1	4.8	19.9	18.9	46.7	14.5	67.5	33.4	10.6	16.822222222222223	22.86651542820285
203951_at	8.1	151.1	440.1	77.7	139.4	69.1	198.8	151.5	137.6	76.2	33.9	33.5	7.7	85.4	15.1	12.8	25.5	27.5	93.94444444444444	25.545739425238782
203953_s_at	2.7	1.8	1.9	1.1	2.1	2.9	1.0	4.2	2.1	3.6	3.4	2.7	2.8	3.0	6.0	5.0	5.0	17.9	3.8444444444444437	22.39858495302664
203979_at	32.7	46.6	49.4	27.9	30.6	43.1	6.8	25.7	102.0	16.8	11.0	49.7	38.2	14.1	69.5	401.5	572.8	57.8	88.67777777777778	38.66102575054758
203980_at	130.9	998.0	13364.2	9836.8	8793.9	451.8	1601.7	17391.6	789.7	7205.1	18908.8	1884.0	10.5	10746.8	766.3	2768.9	1174.6	797.5	5423.394444444445	26.49340449173372
204007_at	1075.3	1554.6	3648.6	936.2	507.0	1230.0	662.8	1625.2	1183.4	4954.4	205.7	817.1	947.5	483.7	705.9	1665.8	1008.8	844.8	1336.4888888888888	20.044983941694355
204051_s_at	285.3	368.3	1410.0	1193.9	992.7	150.6	394.4	3452.7	406.6	123.7	781.3	319.3	310.0	1096.5	96.2	314.1	157.8	375.1	679.3611111111111	26.964728531529875
